store_number,store_type,address,city,state,zip_code,phone_number,store_hours,pharmacy_phone_number,pharmacy_hours,has_photo_center,has_vision_center,has_tire__lube,has_gas_station,has_cell_phones,services,latitude,longitude,accuracy
2523,,2595 E Imperial Hwy,Brea,CA,92821, (714) 529-0596,Monday - Friday : 7: 00 am - 10: 00 pm Saturday: 7: 00 am - 10: 00 pm Sunday: 7: 00 am - 10: 00 pm, (714) 529-5394,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",33.91313,-117.8658287,SUBPREMISE: APPROXIMATE
2524,,5502 Monterey Hwy,San Jose,CA,95138, (408) 363-9050,Monday - Friday : 6: 00 am - 12: 00 am Saturday: 6: 00 am - 12: 00 am Sunday: 6: 00 am - 12: 00 am, (408) 363-9803,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,"Cell Phones, Plans & More","McDonald's Pharmacy Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",37.25558,-121.798295,ESTABLISHMENT: APPROXIMATE
2526,Walmart Supercenter,19821 Rinaldi St,Porter Ranch,CA,91326, (818) 832-0643,Monday - Friday : 7: 00 am - 12: 00 am Saturday: 7: 00 am - 12: 00 am Sunday: 7: 00 am - 12: 00 am, (818) 832-6592,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",34.277157,-118.567052,STREET_ADDRESS: ROOFTOP
2527,,951 Avenida Pico,San Clemente,CA,92673, (949) 498-6669,Monday - Friday : 6: 00 am - 11: 00 pm Saturday: 6: 00 am - 11: 00 pm Sunday: 6: 00 am - 11: 00 pm, (949) 498-6679,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",33.4553191,-117.6058768,STREET_ADDRESS: ROOFTOP
2528,Walmart Supercenter,167 Hogan Blvd,Mill Hall,PA,17751, (570) 893-4627,Open 24 Hours, (570) 893-8184,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",41.116313,-77.481166,STREET_ADDRESS: ROOFTOP
2529,Walmart Supercenter,2021 Lynnhaven Pkwy,Virginia Beach,VA,23456, (757) 416-3480,Open 24 Hours, (757) 416-3490,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",36.794012,-76.122772,STREET_ADDRESS: ROOFTOP
2530,,1 Rutland Shopping Plz,Rutland,VT,05701, (802) 773-0200,Monday - Friday : 7: 00 am - 10: 00 pm Saturday: 7: 00 am - 10: 00 pm Sunday: 7: 00 am - 10: 00 pm, (802) 773-1600,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,"Cell Phones, Plans & More","Pharmacy Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",43.6121595,-72.9627364,ROUTE: GEOMETRIC_CENTER
2531,,3133 E Main St,Mohegan Lake,NY,10547, (914) 526-1100,Monday - Friday : 7: 00 am - 12: 00 am Saturday: 7: 00 am - 12: 00 am Sunday: 7: 00 am - 12: 00 am, (914) 526-1105,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",41.3106024,-73.8667301,STREET_ADDRESS: ROOFTOP
2532,Walmart Supercenter,2785 Milwaukee Rd,Beloit,WI,53511, (608) 362-0057,Open 24 Hours, (608) 362-7774,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",42.5252685,-88.9824648,STREET_ADDRESS: ROOFTOP
2533,Walmart Supercenter,3767 Gulf Breeze Pkwy,Gulf Breeze,FL,32563, (850) 934-0362,Open 24 Hours, (850) 934-3178,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",30.389474,-87.065307,STREET_ADDRESS: ROOFTOP
2534,Walmart Supercenter,3300 S Oates St,Dothan,AL,36301, (334) 702-1310,Open 24 Hours, (334) 702-0840,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,Gas Station,"Cell Phones, Plans & More","Gas Station Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",31.178992,-85.404002,STREET_ADDRESS: ROOFTOP
2535,Walmart Supercenter,500 Terry Rich Blvd,Saint Clair,PA,17970, (570) 429-1959,Open 24 Hours, (570) 429-2004,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",40.7278421,-76.1934498,ROUTE: GEOMETRIC_CENTER
2536,,1110 E Prosperity Ave,Tulare,CA,93274, (559) 684-1300,Monday - Friday : 7: 00 am - 11: 00 pm Saturday: 7: 00 am - 11: 00 pm Sunday: 7: 00 am - 11: 00 pm, (559) 684-1327,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",36.2283515,-119.3292561,STREET_ADDRESS: ROOFTOP
2537,Walmart Supercenter,1515 Dana Dr,Redding,CA,96003, (530) 221-2800,Open 24 Hours, (530) 221-3166,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,,Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel,40.5837373,-122.3435063,STREET_ADDRESS: ROOFTOP
2538,,1040 Green Acres Rd,Eugene,OR,97408, (541) 343-6977,Monday - Friday : 6: 00 am - 12: 00 am Saturday: 6: 00 am - 12: 00 am Sunday: 6: 00 am - 12: 00 am, (541) 343-8028,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,"Cell Phones, Plans & More","Pharmacy Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",44.090938,-123.093576,STREET_ADDRESS: ROOFTOP
2539,Walmart Supercenter,15727 E Broadway Ave,Spokane Valley,WA,99037, (509) 922-8868,Open 24 Hours, (509) 922-9047,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",47.6660699,-117.1910499,STREET_ADDRESS: ROOFTOP
2540,Walmart Supercenter,63 Perkins Rd,Clarion,PA,16214, (814) 226-0809,Open 24 Hours, (814) 226-0901,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",41.1899463,-79.3943039,STREET_ADDRESS: RANGE_INTERPOLATED
2541,Walmart Supercenter,2700 W State St,Alliance,OH,44601, (330) 821-0026,Open 24 Hours, (330) 821-0449,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",40.900509,-81.16094,STREET_ADDRESS: ROOFTOP
2542,Walmart Supercenter,1720 N Perry St,Ottawa,OH,45875, (419) 523-6995,Monday - Friday : 7: 00 am - 12: 00 am Saturday: 7: 00 am - 12: 00 am Sunday: 7: 00 am - 12: 00 am, (419) 523-9205,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,"Cell Phones, Plans & More","Pharmacy Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",41.0346152,-84.0350838,STREET_ADDRESS: ROOFTOP
2543,Walmart Supercenter,390 Route 315 Hwy,Pittston,PA,18640, (570) 883-9400,Open 24 Hours, (570) 883-9700,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",41.318286,-75.7519563,STREET_ADDRESS: RANGE_INTERPOLATED
2544,Walmart Supercenter,6087 Us Highway 6,Portage,IN,46368, (219) 759-5900,Open 24 Hours, (219) 759-5811,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",41.5504109,-87.1798285,STREET_ADDRESS: RANGE_INTERPOLATED
2545,Walmart Supercenter,2900 Roosevelt Rd,Marinette,WI,54143, (715) 735-5117,Open 24 Hours, (715) 735-5593,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,,Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel,45.0739383,-87.6559813,PREMISE: APPROXIMATE
2546,,2300 N Tustin St,Orange,CA,92865, (714) 998-4473,Open 24 Hours, (714) 998-5697,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","McDonald's Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",33.8280027,-117.838205,STREET_ADDRESS: ROOFTOP
2547,Walmart Supercenter,41 Anawana Lake Rd,Monticello,NY,12701, (845) 796-7202,Open 24 Hours, (845) 796-7200,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",41.700005,-74.681259,ROUTE: GEOMETRIC_CENTER
2548,Walmart Supercenter,28402 Us Highway 119,South Williamson,KY,41503, (606) 237-0477,Open 24 Hours, (606) 237-4443,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",37.6695601,-82.2784135,ROUTE: GEOMETRIC_CENTER
2549,Walmart Supercenter,9212 N Colton St,Spokane,WA,99218, (509) 464-2173,Open 24 Hours, (509) 464-2736,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",47.7415228,-117.4027988,STREET_ADDRESS: ROOFTOP
2550,Walmart Supercenter,221E Ne 104Th Ave,Vancouver,WA,98664, (360) 885-0734,Open 24 Hours, (360) 885-0126,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",45.6213146,-122.5623296,STREET_ADDRESS: ROOFTOP
2551,,209 E Ridgeville Blvd,Mount Airy,MD,21771, (301) 829-4433,Monday - Friday : 6: 00 am - 12: 00 am Saturday: 6: 00 am - 12: 00 am Sunday: 6: 00 am - 12: 00 am, (301) 829-4403,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",39.3670302,-77.1625172,STREET_ADDRESS: ROOFTOP
2552,,4200 Se 82Nd Ave,Portland,OR,97266, (503) 788-0200,Monday - Friday : 6: 00 am - 12: 00 am Saturday: 6: 00 am - 12: 00 am Sunday: 6: 00 am - 12: 00 am, (503) 788-0400,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Subway Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",45.4915888,-122.5767351,STREET_ADDRESS: ROOFTOP
2553,,6650 Hembree Ln,Windsor,CA,95492, (707) 836-7200,Monday - Friday : 6: 00 am - 12: 00 am Saturday: 6: 00 am - 12: 00 am Sunday: 6: 00 am - 12: 00 am, (707) 836-7300,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",38.5263261,-122.7894526,STREET_ADDRESS: RANGE_INTERPOLATED
2554,Walmart Supercenter,13055 W Rancho Santa Fe Blvd,Avondale,AZ,85392, (623) 935-4010,Open 24 Hours, (623) 935-4022,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube McDonald's Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",33.4594369,-112.3380823,STREET_ADDRESS: ROOFTOP
2555,,117 Wilton Blvd,New Castle,DE,19720, (302) 324-0900,Monday - Friday : 7: 00 am - 12: 00 am Saturday: 7: 00 am - 12: 00 am Sunday: 7: 00 am - 12: 00 am, (302) 324-0905,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",39.652987,-75.621487,STREET_ADDRESS: ROOFTOP
2556,,1168 W Branch St,Arroyo Grande,CA,93420, (805) 474-0800,Monday - Friday : 7: 00 am - 10: 00 pm Saturday: 7: 00 am - 10: 00 pm Sunday: 7: 00 am - 10: 00 pm, (805) 474-0900,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,,McDonald's Pharmacy Vision Center Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel,35.1287746,-120.5980638,STREET_ADDRESS: ROOFTOP
2557,,8400 Rosedale Hwy,Bakersfield,CA,93312, (661) 588-2097,Monday - Friday : 6: 00 am - 12: 00 am Saturday: 6: 00 am - 12: 00 am Sunday: 6: 00 am - 12: 00 am, (661) 588-2378,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","McDonald's Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel",35.386048,-119.0956759,STREET_ADDRESS: ROOFTOP
2558,,44575 Mound Rd,Sterling Heights,MI,48314, (586) 323-2394,Monday - Friday : 7: 00 am - 11: 00 pm Saturday: 7: 00 am - 11: 00 pm Sunday: 7: 00 am - 11: 00 pm, (586) 323-2570,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",42.624181,-83.0571969,STREET_ADDRESS: ROOFTOP
2559,Walmart Supercenter,33201 Van Dyke Ave,Sterling Heights,MI,48312, (586) 939-7208,Open 24 Hours, (586) 939-8171,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Subway Pharmacy Vision Center Grocery Garden Center Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",42.538336,-83.0318489,STREET_ADDRESS: ROOFTOP
2560,Walmart Supercenter,11416 Ocean Gtwy,Berlin,MD,21811, (410) 629-0502,Open 24 Hours, (410) 629-1842,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,,Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel Op Apparel,38.3403991,-75.1619502,STREET_ADDRESS: ROOFTOP
2561,,5350 W. Ridge Rd,Erie,PA,16506, (814) 835-0556,Open 24 Hours, (814) 835-0562,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Subway Pharmacy Vision Center Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",42.0656993,-80.1938185,STREET_ADDRESS: RANGE_INTERPOLATED
2562,Walmart Supercenter,2160 C0Mmerce Road,Goodland,KS,67735, (785) 899-2111,Open 24 Hours, (785) 899-2266,Monday - Friday : 9: 00 am - 7: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,"Cell Phones, Plans & More","Pharmacy Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center 1-Hour Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",39.3341012,-101.7266424,STREET_ADDRESS: ROOFTOP
2563,Walmart Supercenter,735 N Gospel St,Paoli,IN,47454, (812) 723-4444,Open 24 Hours, (812) 723-2505,Monday - Friday : 8: 00 am - 8: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,"Cell Phones, Plans & More","Pharmacy Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",38.564858,-86.467851,STREET_ADDRESS: ROOFTOP
2564,Walmart Supercenter,1036 Us Highway 211 W,Luray,VA,22835, (540) 743-4111,Open 24 Hours, (540) 743-1701,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,,,,"Cell Phones, Plans & More","Pharmacy Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",38.6616389,-78.4926616,STREET_ADDRESS: ROOFTOP
2565,Walmart Supercenter,197 Madison Heights Sq,Madison Heights,VA,24572, (434) 846-9650,Open 24 Hours, (434) 846-2670,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,Tire & Lube,,"Cell Phones, Plans & More","Tire & Lube Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Same Day Pickup Photo Center Site to StoreSM  Pay In Person L.e.i. Apparel",37.4610305,-79.1181997,STREET_ADDRESS: RANGE_INTERPOLATED
2566,Walmart Supercenter,96 Patrick Henry Way,Charles Town,WV,25414, (304) 728-2720,Open 24 Hours, (304) 728-2190,Monday - Friday : 9: 00 am - 9: 00 pm Saturday: 9: 00 am - 7: 00 pm Sunday: 10: 00 am - 6: 00 pm,Photo Center,Vision Center,,,"Cell Phones, Plans & More","Subway Pharmacy Vision Center Grocery Garden Center Canopy Home Collection Cell Phones, Plans & More Photo Center 1-Hour Photo Center Same Day Pickup Photo Center Portrait Studio Portrait Studio Site to StoreSM  Pay In Person L.e.i. Apparel",39.3004227,-77.8271786,STREET_ADDRESS: ROOFTOP
